Index,Data,combo_idx,Nodes,TotalNodes,ObjVal,Crossings,EdgeLength,Runtime,Status
2500,graph_29_99,1,29,89,318.0,64,321,8.583868503570557,2
2501,graph_30_0,1,30,41,8.0,1,127,0.09093236923217773,2
2502,graph_30_1,1,30,41,8.0,2,117,0.07857871055603027,2
2503,graph_30_2,1,30,44,7.0,2,110,0.07122659683227539,2
2504,graph_30_3,1,30,51,9.0,4,93,0.09335160255432129,2
2505,graph_30_4,1,30,34,24.0,6,63,0.05276608467102051,2
2506,graph_30_5,1,30,50,6.0,2,89,0.07049059867858887,2
2507,graph_30_6,1,30,38,14.0,4,115,0.04481101036071777,2
2508,graph_30_7,1,30,38,35.0,7,109,0.13686585426330566,2
2509,graph_30_8,1,30,40,9.0,2,111,0.05110645294189453,2
2510,graph_30_9,1,30,42,0.0,0,81,0.04937267303466797,2
2511,graph_30_10,1,30,50,7.0,2,91,0.06969213485717773,2
2512,graph_30_11,1,30,44,3.0,1,103,0.11451077461242676,2
2513,graph_30_12,1,30,56,28.0,4,112,0.13908123970031738,2
2514,graph_30_13,1,30,39,48.0,9,79,0.09028458595275879,2
2515,graph_30_14,1,29,45,0.0,0,64,0.04814434051513672,2
2516,graph_30_15,1,30,44,15.0,5,115,0.10057950019836426,2
2517,graph_30_16,1,30,51,28.0,5,72,0.07925009727478027,2
2518,graph_30_17,1,30,46,11.0,4,187,0.13486838340759277,2
2519,graph_30_18,1,30,52,5.0,3,174,0.0970468521118164,2
2520,graph_30_19,1,30,39,93.0,22,97,0.15748143196105957,2
2521,graph_30_20,1,30,65,20.0,6,92,0.1587388515472412,2
2522,graph_30_21,1,30,49,8.0,1,121,0.08082890510559082,2
2523,graph_30_22,1,30,53,51.0,10,143,0.17937994003295898,2
2524,graph_30_23,1,30,38,67.0,7,147,0.3319516181945801,2
2525,graph_30_24,1,30,44,12.0,4,134,0.10564017295837402,2
2526,graph_30_25,1,30,55,29.0,6,164,0.1581892967224121,2
2527,graph_30_26,1,29,42,115.0,26,109,0.1646556854248047,2
2528,graph_30_27,1,30,58,18.0,4,99,0.10325384140014648,2
2529,graph_30_28,1,30,44,63.0,12,152,0.08440184593200684,2
2530,graph_30_29,1,28,54,46.0,17,172,0.390059232711792,2
2531,graph_30_30,1,30,53,42.0,16,96,0.14774656295776367,2
2532,graph_30_31,1,30,45,147.0,25,140,0.35051631927490234,2
2533,graph_30_32,1,30,65,110.0,27,206,0.37604570388793945,2
2534,graph_30_33,1,30,46,81.0,22,169,0.20896410942077637,2
2535,graph_30_34,1,30,37,97.0,20,118,0.2003469467163086,2
2536,graph_30_35,1,30,47,75.0,16,204,0.1959850788116455,2
2537,graph_30_36,1,30,36,91.0,21,111,0.2620086669921875,2
2538,graph_30_37,1,30,55,82.0,22,161,0.4111144542694092,2
2539,graph_30_38,1,30,43,63.0,19,176,0.18746542930603027,2
2540,graph_30_39,1,30,52,65.0,13,156,0.21499252319335938,2
2541,graph_30_40,1,30,49,69.0,11,159,0.2192695140838623,2
2542,graph_30_41,1,30,61,51.0,15,173,0.36012864112854004,2
2543,graph_30_42,1,30,47,194.0,39,188,0.7688934803009033,2
2544,graph_30_43,1,30,70,50.0,16,161,0.41294193267822266,2
2545,graph_30_44,1,30,51,196.0,41,199,0.7250308990478516,2
2546,graph_30_45,1,30,48,95.0,27,164,0.2778482437133789,2
2547,graph_30_46,1,30,72,130.0,25,187,4.290341377258301,2
2548,graph_30_47,1,30,63,142.0,37,280,1.011284351348877,2
2549,graph_30_48,1,30,70,58.0,14,128,0.25997376441955566,2
2550,graph_30_49,1,30,60,96.0,22,224,0.4171268939971924,2
2551,graph_30_50,1,30,47,183.0,28,246,0.3834347724914551,2
2552,graph_30_51,1,30,60,99.0,21,222,0.48258423805236816,2
2553,graph_30_52,1,30,54,165.0,32,217,1.1112418174743652,2
2554,graph_30_53,1,30,59,109.0,20,256,0.35947537422180176,2
2555,graph_30_54,1,30,72,132.0,27,226,0.7962169647216797,2
2556,graph_30_55,1,30,52,146.0,35,267,0.5883214473724365,2
2557,graph_30_56,1,30,65,206.0,38,217,1.3361594676971436,2
2558,graph_30_57,1,30,74,129.0,29,213,0.5422465801239014,2
2559,graph_30_58,1,30,60,235.0,39,320,1.4181275367736816,2
2560,graph_30_59,1,30,50,239.0,49,238,0.78877854347229,2
2561,graph_30_60,1,30,87,131.0,29,192,0.932171106338501,2
2562,graph_30_61,1,30,54,229.0,49,303,1.4099886417388916,2
2563,graph_30_62,1,30,75,115.0,21,266,0.902881383895874,2
2564,graph_30_63,1,30,62,134.0,26,257,0.9042463302612305,2
2565,graph_30_64,1,30,73,219.0,43,256,0.8518037796020508,2
2566,graph_30_65,1,30,68,125.0,36,305,1.911012887954712,2
2567,graph_30_66,1,30,49,330.0,73,290,1.2273423671722412,2
2568,graph_30_67,1,30,66,215.0,56,256,4.684580087661743,2
2569,graph_30_68,1,30,60,219.0,41,256,1.1178927421569824,2
2570,graph_30_69,1,30,70,212.0,47,356,3.0720551013946533,2
